iter	Passed	Remaining
0	1	100
1	1	90
2	2	84
3	3	79
4	4	76
5	4	76
6	5	76
7	6	75
8	7	75
9	8	75
10	9	75
11	10	76
12	11	75
13	12	74
14	13	74
15	14	73
16	14	72
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	31	55
36	32	54
37	33	54
38	34	53
39	34	52
40	35	51
41	36	50
42	37	49
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
